feature,importance
pm2_5,24.276773860384083
ozone,19.029154705949214
pm10,0.3656228480531049
nitrogen_dioxide,0.05553492228607511
hour_sin,0.04751619418179973
pm2_5_lag_1h,0.04121966603221512
carbon_monoxide,0.018758092844760977
pm10_rolling_mean_24h,0.017778441828996405
pm10_lag_1h,0.017465575713669707
relative_humidity_2m,0.017219483326683816
sulphur_dioxide,0.012308988881035625
pm2_5_rolling_mean_24h,0.011852548185299896
pm2_5_lag_24h,0.010665392749784817
pm10_lag_24h,0.009075988048647825
pm10_rolling_max_24h,0.005921014835742156
temperature_2m,0.0056697755132025995
pm2_5_rolling_max_24h,0.005630817124642539
pm2_5_rolling_std_24h,0.004553482714502206
