feature,importance
pm2_5,26.326529229948193
ozone,8.394837781135017
pm10,0.5956966448333262
pm2_5_lag_1h,0.4956497392334267
pm2_5_rolling_std_24h,0.4883302634356801
carbon_monoxide,0.4865358315579914
pm2_5_rolling_mean_24h,0.48512574735388403
pm10_rolling_max_24h,0.4802913084689981
temperature_2m,0.4636416214288379
nitrogen_dioxide,0.46288029647003803
sulphur_dioxide,0.458697141803276
pm10_rolling_mean_24h,0.45487897360112917
pm2_5_rolling_max_24h,0.44628918526863126
pm10_lag_1h,0.4274722271462485
hour_sin,0.4105104223192697
pm2_5_lag_24h,0.40476808086114296
pm10_lag_24h,0.3860857190790524
relative_humidity_2m,0.3832435249010311
